Title,Links,label
Times Now,https://www.timesnownews.com,0
TN Navbharat,https://www.timesnowhindi.com,0
Zoom,https://www.zoomtventertainment.com,0
ET Now,https://www.etnownews.com,0
Times Drive,https://www.timesdrive.in,0
Health and Me,https://www.healthandme.com,0
Digit,https://www.digit.in/,0
Marathi,https://marathi.timesnownews.com,0
Telugu,https://telugu.timesnownews.com/,0
Tamil,https://tamil.timesnownews.com/,0
Bengali,https://bengali.timesnownews.com,0
Kannada,https://kannada.timesnownews.com,0
ET Now Swadesh,https://www.etnownews.com/hindi,0
 ,https://www.timesnownews.com/,0
India,https://www.timesnownews.com/india,0
Cities ,https://www.timesnownews.com/city,0
Mumbai ,https://www.timesnownews.com/mumbai,0
Delhi ,https://www.timesnownews.com/delhi,0
Kolkata ,https://www.timesnownews.com/kolkata,0
Bengaluru ,https://www.timesnownews.com/bengaluru,0
Hyderabad ,https://www.timesnownews.com/hyderabad,0
Chennai ,https://www.timesnownews.com/chennai,0
Pune ,https://www.timesnownews.com/pune,0
Noida ,https://www.timesnownews.com/city/noida,0
Gurugram ,https://www.timesnownews.com/city/gurugram,0
Ghaziabad ,https://www.timesnownews.com/city/ghaziabad,0
Ahmedabad ,https://www.timesnownews.com/city/ahmedabad,0
Chandigarh ,https://www.timesnownews.com/city/chandigarh,0
Kochi ,https://www.timesnownews.com/city/kochi,0
Crime ,https://www.timesnownews.com/crime,0
" VIDEO: Passengers Get Angry As SpiceJet Cancels Delhi-Darbhanga Flight 5 Mins Before Boarding, Airline Responds",https://www.timesnownews.com/india/video-passengers-get-angry-as-spicejet-cancels-delhi-darbhanga-flight-5-mins-before-boarding-airline-responds-article-113355144,0
 Stones Thrown At Vande Bharat During Trial Run Ahead Of Its Flag-Off Ceremony In Chhattisgarh,https://www.timesnownews.com/india/stones-thrown-at-vande-bharat-during-trial-run-ahead-of-its-flag-off-ceremony-in-chhattisgarh-article-113354099,0
" Breaking News: CBI Arrests Sandip Ghosh, Kolkata Police SHO In RG Kar Rape-Murder Case",https://www.timesnownews.com/india/cbi-arrests-sandip-ghosh-kolkata-police-sho-in-rg-kar-rape-murder-case-article-113354397,0
" Deadlock Continues As Doctors Firm On Live Stream Demand, Mamata Banerjee Says 'Can't Keep Insulting Me'",https://www.timesnownews.com/india/deadlock-continues-as-doctors-firm-on-livestream-demand-mamata-banerjee-says-cant-keep-insulting-me-article-113354068,0
 How Zorawar Tanks Will Enhance Army's Combat Capabilities In Mountains | VIDEO,https://www.timesnownews.com/india/how-zorawar-tanks-will-enhance-armys-combat-capabilities-in-mountains-video-article-113353117,0
"'No Live Streaming, No Meeting': Junior Doctors' Dialogue With Mamata Banerjee Hits Roadblock",https://www.timesnownews.com/india/no-live-streaming-no-meeting-junior-doctors-dialogue-with-mamata-banerjee-hits-roadblock-article-113353279,0
Rajasthan: 'Army Man' Seeks Sexual Favours To Pass NCC Aspirant In Test,https://www.timesnownews.com/india/rajasthan-army-man-seeks-sexual-favours-to-pass-ncc-aspirant-in-test-article-113351826,0
"Uttar Pradesh: Building Collapses In Meerut's Zakir Colony, Over 8 Trapped; Rescue Underway",https://www.timesnownews.com/india/uttar-pradesh-building-collapses-in-meeruts-zakir-colony-over-8-trapped-rescue-underway-article-113353092,1
RG Kar Victim's Mother Firm On 5-Point Demand As Doctors Meet Mamata Banerjee To Resolve Crisis,https://www.timesnownews.com/india/rg-kar-victims-mother-firm-on-5-point-demand-as-doctors-meet-mamata-banerjee-to-resolve-crisis-article-113352289,0
Will Arvind Kejriwal's Bail Conditions Impact Governance In Delhi? What AAP Said,https://www.timesnownews.com/india/will-arvind-kejriwals-bail-conditions-impact-governance-in-delhi-what-aap-said-article-113351596,0
Mamata Banerjee-Doctors Key Meeting At CM Residence: Will RG Kar Hospital Impasse Finally End?,https://www.timesnownews.com/india/mamata-banerjee-to-meet-doctors-today-will-rg-kar-hospital-impasse-finally-end-article-113350929,0
"West Bengal: 65-Year-Old Woman Dies After Mud House Collapses In Bankura, 6 Injured",https://www.timesnownews.com/india/west-bengal-65-year-old-woman-dies-after-mud-house-collapses-in-bankura-6-injured-article-113350400,0
'Congress India's Most Dishonest Party': PM Modi Kicks Off BJP's Haryana Campaign With Kurukshetra Rally - TOP QUOTES,https://www.timesnownews.com/india/pm-modi-kicks-off-bjps-campaign-in-haryana-with-kurukshetra-rally-hits-out-at-congress-top-quotes-article-113350228,0
Who Was Tika Lal Taploo Mentioned By PM Modi In Doda & Why BJP Has Named Scheme For KPs After Him,https://www.timesnownews.com/india/who-was-tika-lal-taploo-mentioned-by-pm-modi-in-doda-why-bjp-has-named-scheme-for-kps-after-him-article-113349213,0
"Gyanvapi Is 'Vishwanath' Himself, Unfortunate That People Call It Mosque Today: Yogi Adityanath",https://www.timesnownews.com/india/gyanvapi-is-vishwanath-himself-unfortunate-that-people-call-it-mosque-today-yogi-adityanath-article-113348425,0
Cities,https://www.timesnownews.com/city,0
 ED Arrests Gurugram Residents for Taking Illegal Possession of Property,https://www.timesnownews.com/city/gurugram/ed-arrests-gurugram-residents-for-taking-illegal-possession-of-property-article-113353631,0
" PM Modi's Ahmedabad Visit: City's Several Routes Diverted On Monday, Check Full Advisory",https://www.timesnownews.com/city/ahmedabad/pm-modis-ahmedabad-visit-citys-several-routes-diverted-on-monday-check-full-advisory-article-113350547,0
" 8 Drown During Ganesh Idol Immersion Near Ahmedabad, PM Modi Announces Rs 2 Lakh Ex Gratia",https://www.timesnownews.com/city/ahmedabad/8-drown-during-ganesh-idol-immersion-near-ahmedabad-pm-modi-announces-rs-2-lakh-ex-gratia-article-113347663,0
" Civic Apathy Kills Again, 2 Men Die In Faridabad After Their SUV Sinks In Waterlogged Underpass",https://www.timesnownews.com/city/civic-apathy-kills-again-2-men-die-in-faridabad-after-their-suv-submerges-in-waterlogged-underpass-article-113341645,0
 Noida: How A 44-Yr-Old Duped Of Rs 27 Lakh In SIM Card 'Hacking'; Here's The Major Mistake,https://www.timesnownews.com/city/noida/how-a-44-yr-old-duped-of-rs-27-lakh-in-sim-card-hacking-heres-the-major-mistake-article-113342476,0
"Ghaziabad Man, Minor Partner Thrashed For 'Mixing' Urine With Juice, Detained",https://www.timesnownews.com/city/ghaziabad/ghaziabad-man-minor-partner-thrashed-for-mixing-urine-with-juice-detained-article-113340328,0
"Chandigarh Grenade Attack's Main Perpetrator Arrested, Admits Role In Blast: Punjab Top Cop",https://www.timesnownews.com/city/chandigarh/chandigarh-grenade-attacks-main-perpetrator-arrested-admits-role-in-blast-punjab-top-cop-article-113312885,0
"'Tried To Catch Him', 'I Was Panicked': Owners Of Chandigarh House Where Attackers Threw Grenade",https://www.timesnownews.com/city/chandigarh/owners-of-chandigarh-house-where-attackers-threw-grenade-say-i-tried-to-catch-him-i-was-panicked-article-113300464,0
"Kochi Has 95 pc Pending Cases Of Crimes Against Women, And A Worse Conviction Rate: Report",https://www.timesnownews.com/city/kochi/kochi-has-95-pc-pending-cases-of-crimes-against-women-and-a-worse-conviction-rate-article-113299216,0
Ahmedabad-Based Firm To Invest Rs 200 Cr For 100 Cervical Cancer Screening Labs Across Country,https://www.timesnownews.com/city/ahmedabad/ahmedabad-based-firm-to-invest-rs-200-cr-for-100-cervical-cancer-screening-labs-across-country-article-113294430,0
"6-Year-Old Noida Student 'Inappropriately' Touched, Parents Protest  At School: VIDEO",https://www.timesnownews.com/city/noida/6-year-old-noida-student-inappropriately-touched-parents-protest-at-school-video-article-113293902,0
Gurugram Civic Body Is Yet To Acquire Land It Was Allotted 8 Years Ago For A Cultural Complex,https://www.timesnownews.com/city/gurugram/gurugram-civic-body-is-yet-to-acquire-land-it-was-allotted-8-years-ago-for-a-cultural-complex-article-113292293,0
Yamuna Expressway Authority To Launch Residential Plots Scheme This Navratri; Check Location & Prices,https://www.timesnownews.com/city/noida/yamuna-expressway-authority-to-launch-residential-plots-scheme-this-navratri-near-noida-airport-checkprices-article-113286658,0
US-Based Gangster Claims Responsibility For Chandigarh Attack Targeting An Ex-Punjab Cop,https://www.timesnownews.com/city/chandigarh/chandigarh-grenade-attack-nikodar-killing-us-based-gangster-harpreet-singh-claims-responsibility-targeting-an-ex-punjab-cop-khalistan-terrorist-harinder-singh-rinda-article-113285610,0
Caught On Cam: Chandigarh House Hit By Suspected Grenade Blast,https://www.timesnownews.com/city/chandigarh/caught-on-cam-chandigarh-house-hit-by-suspected-grenade-blast-article-113266361,0
Mumbai,https://www.timesnownews.com/mumbai,0
 Don’t Miss Out: 5 Iconic Ganesh Pandals In Mumbai To Visit Before The Festival Ends-IN PICS,https://www.timesnownews.com/mumbai/dont-miss-out-5-iconic-ganesh-pandals-in-mumbai-to-visit-before-the-festival-ends-in-pics-article-113345921,0
" Mumbai Lawyer Made To Undress, Stand Naked By Fake Cops Who Planned To Blackmail Her",https://www.timesnownews.com/mumbai/mumbai-lawyer-made-to-undress-stand-naked-by-fake-cops-who-planned-to-blackmail-her-article-113342957,0
 Eid-e-Milad Government Holiday In Mumbai Rescheduled From 16 To 18 September,https://www.timesnownews.com/mumbai/eid-e-milad-government-holiday-in-mumbai-rescheduled-from-16-to-18-september-article-113340376,0
 Fire Breaks Out In A Building In Mumbai's Ghatkopar; 13 Injured,https://www.timesnownews.com/mumbai/fire-breaks-out-in-a-building-in-mumbais-ghatkopar-13-injured-article-113339592,0
" Have Weekend Plans? Mumbaikars, Check The Weather Forecast Before You Step Out!",https://www.timesnownews.com/mumbai/mumbai-weather-light-rain-likely-today-imd-forecasts-week-long-showers-article-113338309,0
"Big Change Soon on India's Busiest Air Route, Delhi-Mumbai-Delhi: Report",https://www.timesnownews.com/delhi/big-change-soon-on-indias-busiest-air-route-delhi-mumbai-delhi-report-article-113329286,0
"Woman Held In Hyderabad For Sending Indians To Cambodia, Where They Were Tortured And...",https://www.timesnownews.com/hyderabad/woman-held-in-hyderabad-for-sending-indians-to-cambodia-where-they-were-tortured-and-article-113327358,0
Mumbai-Phuket IndiGo Flight Diverted To Penang In Malaysia Due To Bad Weather,https://www.timesnownews.com/mumbai/mumbai-phuket-indigo-flight-diverted-to-penang-in-malaysia-due-to-bad-weather-article-113327791,0
"Super-Fast AC Bus Services Starts In Navi Mumbai Via Atal Setu; Check Routes, Prices And Timings",https://www.timesnownews.com/mumbai/super-fast-ac-bus-services-starts-in-navi-mumbai-via-atal-setu-check-routes-prices-and-timings-article-113297568,0
"Woman Dies After Fire Breaks Out On 9th Floor Of Mumbai Apartment, Ops Underway To Douse Flames",https://www.timesnownews.com/mumbai/woman-dies-after-fire-breaks-out-9th-floor-of-mumbai-apartment-ops-on-to-douse-flames-article-113320700,0
"In Just 10 Minutes, Travel Time From Bandra To Marine Drive Cut Short",https://www.timesnownews.com/mumbai/in-just-10-minutes-travel-time-from-bandra-to-marine-drive-cut-short-article-113317693,0
Mumbai-Based Artist Creates 'Ardhnareshwar' Ganesh Idol Out Of Chocolate,https://www.timesnownews.com/mumbai/mumbai-based-artist-creates-ardhnareshwar-ganesh-idol-out-of-chocolate-article-113313943,0
7th Vande Bharat Train For Mumbai? To Connect THESE 2 Cities,https://www.timesnownews.com/mumbai/7th-vande-bharat-train-for-mumbai-to-connect-these-2-cities-article-113309322,0
"Mumbai To Receive Light Rain Today, Continuous Downpour Expected Ahead",https://www.timesnownews.com/mumbai/mumbai-city-to-receive-light-rain-today-continuous-downpour-expected-ahead-article-113306701,0
"Gas Leak At Chemical Factory In Thane's Ambarnath Leaves Residents With Itchy Eyes, Throat Irritation- VIDEO",https://www.timesnownews.com/mumbai/breaking-news-gas-leak-at-maharashtra-chemical-factory-in-morivali-midc-thane-ambarnath-article-113301402,0
Delhi,https://www.timesnownews.com/delhi,0
 Man Shot Dead in East Delhi's Geeta Colony,https://www.timesnownews.com/delhi/man-shot-dead-in-east-delhis-geeta-colony-article-113352209,0
 Delhi Traffic Police Issues Advisory In View Of 'Rath Yatra' On Saturday- Check Alternative Routes,https://www.timesnownews.com/delhi/delhi-traffic-police-issues-advisory-in-view-of-rath-yatra-on-saturday-check-alternative-routes-article-113350240,0
 Will Pacific Cyclone Yagi Bring More Rainfall to Delhi Next Week?,https://www.timesnownews.com/delhi/will-cyclone-yagi-storm-that-wreaked-havoc-in-vietnam-bring-more-rain-in-delhi-article-113346652,1
 'Caused Air Pollution': AAP Workers Booked For Bursting Crackers On Kejriwal's Release Despite Ban,https://www.timesnownews.com/delhi/caused-air-pollution-aap-workers-booked-for-bursting-crackers-on-kejriwals-release-despite-ban-article-113345996,0
 Arvind Kejriwal's First Outing With Wife After Walking Out Of Jail: CP's Hanuman Mandir | Visuals,https://www.timesnownews.com/delhi/arvind-kejriwals-first-outing-with-wife-after-walking-out-of-jail-cps-hanuman-mandir-visuals-article-113343621,0
Cremation Grounds In Delhi To Now Have Uniform Rates -  Check New Prices,https://www.timesnownews.com/delhi/cremation-grounds-in-delhi-to-now-have-uniform-rates-check-new-prices-article-113340031,0
Delhi Woman Murdered By Husband Because She Was More Active On Social Media,https://www.timesnownews.com/crime/delhi-woman-murdered-by-husband-because-she-was-more-active-on-social-media-article-113341154,0
Delhi Air Hits Year's Best As City Crosses 1000mm Rainfall In 2024: Check Today's Weather,https://www.timesnownews.com/delhi/delhi-weather-drizzling-makes-morning-pleasant-no-rain-for-3-days-check-forecast-article-113339021,0
"Delhi, Get Ready For A 'Theme-Based Walk Festival' This October; Details Inside",https://www.timesnownews.com/delhi/delhi-get-ready-for-a-theme-based-walk-festival-this-october-details-inside-article-113330562,0
"Big Change Soon on India's Busiest Air Route, Delhi-Mumbai-Delhi: Report",https://www.timesnownews.com/delhi/big-change-soon-on-indias-busiest-air-route-delhi-mumbai-delhi-report-article-113329286,0
'If Hindus Can't Celebrate...': BJP Attacks AAP For Bursting Firecrackers On Kejriwal's Release Despite Ban,https://www.timesnownews.com/delhi/if-hindus-cant-celebrate-bjp-attacks-aap-for-bursting-firecrackers-on-kejriwals-release-despite-ban-article-113329597,0
Delhi Metro Breaks Passenger Journeys' Record 17 Times In A Month,https://www.timesnownews.com/delhi/delhi-metro-dmrc-breaks-passenger-journeys-record-17-times-in-a-month-august-september-2024-article-113328191,0
"Delhi Coaching Centre Deaths: 4 Co-Owners Of Basement, Where 3 IAS Aspirants Died, Get Bail",https://www.timesnownews.com/delhi/breaking-news-delhi-coaching-centre-deaths-4-co-owners-of-basement-where-3-ias-aspirants-died-get-bail-article-113324927,0
Delhi's Rainy Destiny: Why Is National Capital Receiving So Much Rainfall?,https://www.timesnownews.com/delhi/delhi-rain-delhis-rainy-destiny-why-is-national-capital-receiving-so-much-rainfall-article-113321183,0
"Going Towards Mundka, Dhaula Kuan? Check THESE Traffic Diversions Amid Waterlogging In Delhi",https://www.timesnownews.com/delhi/going-towards-mundka-dhaula-kuan-check-these-traffic-diversions-amid-waterlogging-in-city-article-113322780,0
Kolkata,https://www.timesnownews.com/kolkata,0
" 1 Injured In Blast In Kolkata Near SN Banerjee Road, Bomb Disposal Squad On Site",https://www.timesnownews.com/kolkata/1-injured-in-blast-in-kolkata-near-sn-banerjee-road-bomb-disposal-squad-on-site-article-113348994,0
 Conspiracy Against Protesting Doctors? Audio Clip Helps Kolkata Police Prevent Big Attack,https://www.timesnownews.com/kolkata/conspiracy-against-protesting-doctors-audio-clip-helps-kolkata-police-prevent-big-attack-article-113343434,0
" 'Was Worried All Night, Request You...': Mamata Vs Doctors' Deadlock To End? CM Meets Protesting Medics",https://www.timesnownews.com/kolkata/watch-mamata-vs-doctors-deadlock-to-end-cm-reaches-swasthya-bhawan-to-meet-protesting-medics-article-113344728,0
 Kolkata Court Rejects CBI's Request of Narco Test on Rape-Murder Accused Sanjay Roy,https://www.timesnownews.com/kolkata/breaking-news-kolkata-court-rejects-cbis-request-of-narco-test-on-rape-murder-accused-sanjay-roy-article-113324122,0
 'Don't Fell Trees From Today' For Kolkata's Joka-Esplanade Metro Project: Supreme Court,https://www.timesnownews.com/kolkata/dont-fell-trees-from-today-for-kolkata-metro-project-supreme-court-on-16-km-long-joka-esplanade-article-113322033,0
"Never Sought Mamata's Resignation: Doctors' Protest Continues After Talks Fail, Blame Bengal Govt",https://www.timesnownews.com/kolkata/never-sought-mamatas-resignation-doctors-protest-continues-after-talks-fail-blame-bengal-govt-article-113306723,0
'Waited For 2 Hours' For Doctors: Mamata Says 'Will Forgive' Them For Not Showing Up For Meeting,https://www.timesnownews.com/kolkata/kolkata-rape-murder-cm-mamata-banerjee-says-will-forgive-protesting-doctors-for-not-showing-up-for-meeting-waited-for-2-hours-article-113297354,0
Kolkata Man Cancels Vacation As Airline Did Not Approve Cat's Travel: 'Michu Has Always...',https://www.timesnownews.com/kolkata/kolkata-man-cancels-vacation-as-airline-did-not-approve-cats-travel-michu-has-always-article-113295944,0
"Suspicious Bag Found Near Kolkata's RG Kar Hospital At Protest Site, Bomb Squad Team Present",https://www.timesnownews.com/kolkata/breaking-news-suspicious-bag-found-at-kolkatas-rg-kar-hospital-near-protest-site-bomb-squad-team-present-article-113286519,0
"ED Raids Sandeep Ghosh's Residence, Other Key Sites In RG Kar Medical College Financial Fraud Case",https://www.timesnownews.com/kolkata/ed-raids-sandeep-ghoshs-residence-other-key-sites-in-rg-kar-medical-college-financial-fraud-case-article-113281009,0
"30-Member Delegation, Live Broadcast: What Doctors Demanded For Talks With Mamata Banerjee",https://www.timesnownews.com/kolkata/30-member-delegation-live-broadcast-what-doctors-demanded-for-talks-with-mamata-banerjee-article-113265112,0
"WB Govt Invites Protesting Junior Doctors For Discussion, Limits Delegation To 15 Members",https://www.timesnownews.com/india/kolkata-rape-case-west-bengal-government-invites-protesting-junior-doctors-for-discussion-limits-delegation-to-15-members-article-113258064,0
"Kolkata Sees Rallies By Students, Clay Modellers And Others, Victim's Mother Calls Medics Her Children",https://www.timesnownews.com/kolkata/kolkata-sees-rallies-by-students-clay-modellers-and-others-victim-mother-calls-protesting-medics-her-children-rg-kar-medical-article-113170905,0
"Sandip Ghosh's Web Of Corruption At RG Kar Hospital, CBI Probing Fake Recruitment, Tendering Process",https://www.timesnownews.com/kolkata/sandip-ghoshs-web-of-corruption-at-rg-kar-hospital-rape-murder-cbi-probing-fake-recruitment-tendering-process-article-113169786,0
'All Have Mothers And Sisters': Kolkata Rickshaw Pullers On Streets Against Doctor's Rape-Murder,https://www.timesnownews.com/kolkata/kolkata-rickshaw-pullers-on-streets-against-trainee-doctors-rape-murder-all-have-mothers-and-sisters-article-113169542,0
Bengaluru,https://www.timesnownews.com/bengaluru,0
" Liquor Ban In Parts Of Bengaluru In View Of Ganesha Idol Immersion, Check Dates, timings",https://www.timesnownews.com/bengaluru/liquor-ban-in-parts-of-bengaluru-in-view-of-ganesha-idol-immersion-check-dates-timings-article-113354914,0
 Bengaluru Contractor Alleges Threat From BJP MLA: 'What Happened To Renukaswamy Will Happen To You',https://www.timesnownews.com/bengaluru/bengaluru-contractor-what-happened-to-renukaswamy-will-happen-to-you-alleges-threat-from-bjp-mla-munirathna-article-113351551,0
 50 Dalit Families Near Bengaluru Paying Price For Sexual Assault Case Against Upper Caste Man,https://www.timesnownews.com/bengaluru/50-dalit-families-near-bengaluru-paying-price-for-sexual-assault-case-posco-against-upper-caste-man-article-113347342,0
" Bengaluru Woman Comes To Know About Married Daughter's Affair And Asks Her To Stop, Gets Killed",https://www.timesnownews.com/bengaluru/bengaluru-news-woman-comes-to-know-about-married-daughters-affair-and-asks-her-to-stop-gets-killed-article-113345937,0
" Bengaluru Eid-e-Milad: Vehicles Restricted On Several Procession Routes, Check Full Advisory",https://www.timesnownews.com/bengaluru/bengaluru-eid-e-milad-vehicles-restricted-on-several-procession-routes-check-full-advisory-article-113344443,0
‘I Will Rape and Kill You': Woman Shares Horror She Faced In Bengaluru,https://www.timesnownews.com/bengaluru/i-will-rape-and-kill-you-woman-shares-horror-she-faced-in-bengaluru-article-113328560,0
"Bengaluru CGST Officials, Arrested By Police, Now Suspended Over Rs 1.5 Cr Extortion Charges",https://www.timesnownews.com/bengaluru/bengaluru-cgst-officials-arrested-by-police-now-suspended-over-rs-1-5-cr-extortion-charges-article-113326036,0
